Epoch,Train Loss,Val Loss,Train Dice,Val Dice
1,0.2522855044320226,0.21353335866332054,0.4710454372519438,0.5047296104799025
2,0.20179331477284432,0.22037827867269516,0.5200234574046743,0.4850915521235438
3,0.1863788934364915,0.18294986091554166,0.5370610520287941,0.5211594885708765
4,0.17505796009302138,0.20994911508262157,0.5476774580305966,0.4914214222570881
5,0.1691665414556861,0.17303173618018627,0.5546045432289364,0.5519866718434059
6,0.16133038595616817,0.17163475702703,0.5630584090936929,0.5466599898979184
7,0.156397795625031,0.16116703030467033,0.5664830918304157,0.5368561522440286
8,0.1539454045459628,0.1609408556520939,0.5704542391004565,0.5450344835126307
9,0.14671408093273638,0.1585933797210455,0.577673845757806,0.5664196130238269
10,0.14877272979766132,0.1480860957056284,0.5755418181487126,0.5761190652174409
11,0.1439426958940923,0.15095706006139517,0.5784337499921327,0.5700594286746345
12,0.14272791445106267,0.1488466750383377,0.581800084886048,0.5699077543297317
13,0.13859281848222016,0.143339141279459,0.5848841037947684,0.5758298185954336
14,0.13702078707814216,0.1425858999788761,0.5843439958325704,0.576070336482022
15,0.12707223924696445,0.13333408512175082,0.5964226100421045,0.5763242312842048
16,0.12479135240018367,0.13042172120511533,0.5981080084831919,0.5814964270279743
17,0.12445551368519664,0.13034648716449737,0.5979085752720246,0.5881900808648206
18,0.1219399169638753,0.1268788486123085,0.601848834969406,0.5948395780762658
19,0.12199346314817668,0.12439938747137785,0.5996959036822431,0.5890059246569872
